batch,seq_len,d_model,kernel_ms,naive_ms,ref2_ms,ref2_label,ref3_ms,ref3_label,kernel_tops,naive_tops,ref2_tops,ref3_tops,kernel_util_pct,naive_util_pct,kernel_bw_util_pct,naive_bw_util_pct,speedup_vs_naive,speedup_vs_ref2,speedup_vs_ref3,kernel_max_err,kernel_mean_err
8,512,512,0.27171775996685027,0.17362944185733795,0.908206080198288,cuBLAS INT8 pipeline,0.43935743808746336,cuBLAS INT8 2xGEMM,63.22689096986503,98.94559931901286,18.9162675284547,39.10226092628477,10.132514578504011,15.85666655753411,4.2449694865021685,13.286152252308856,0.6390065996367733,3.342461237385034,1.6169625354671893,0.021728515625,0.003311274806037545
8,1024,512,0.4010918390750885,0.27250688076019286,1.5357337713241577,cuBLAS INT8 pipeline,0.6683033609390259,cuBLAS INT8 2xGEMM,85.66551353234466,126.08759922739972,22.37349924158662,51.41338556149336,13.728447681465491,20.20634603003201,5.4900384038673025,16.161130272066615,0.6794126786239019,3.8288831178054776,1.666210318514889,0.02349853515625,0.003242743667215109
8,2048,512,0.5731622397899627,0.432926721572876,2.7113062381744384,cuBLAS INT8 pipeline,0.9819136095046997,cuBLAS INT8 2xGEMM,119.89533148796139,158.7323519470771,25.3455237805486,69.98525743080769,19.213995430763042,25.437876914595687,7.5007760482886,19.860920501190677,0.7553301517760895,4.730434159738098,1.7131512534121671,0.02197265625,0.0033669136464595795
8,4096,512,1.0423129606246948,0.798617594242096,5.333360595703125,cuBLAS INT8 pipeline,1.9287859416007995,cuBLAS INT8 2xGEMM,131.85958408271924,172.09607509640745,25.769672049313343,71.2567167292459,21.131343602999877,27.579499214167857,8.148671196518142,21.270419437879948,0.7661975092043913,5.116851461298777,1.8504863840940924,0.0235595703125,0.00341910682618618
8,512,1024,0.5074694395065308,0.3586048024892807,1.9190988636016846,cuBLAS INT8 pipeline,1.0894335579872132,cuBLAS INT8 2xGEMM,135.41599037534877,191.63010717920915,35.808200421227994,63.078171433384995,21.701280508869996,30.709953073591212,4.959081678784745,14.035408240664735,0.7066530012881017,3.781703318859632,2.1467963845203983,0.0458984375,0.007120990194380283
8,1024,1024,0.8396972763538361,0.677826554775238,3.6475289344787596,cuBLAS INT8 pipeline,1.9056025266647338,cuBLAS INT8 2xGEMM,163.67678845975587,202.76419167079356,37.68001733251236,72.12362050786713,26.230254560858313,32.494261485704094,5.494521096976667,13.613318532585017,0.8072272875750187,4.343861814482943,2.269392292111879,0.0518798828125,0.007341664284467697
8,2048,1024,1.5603577661514283,1.3156556820869445,7.185817537307739,cuBLAS INT8 pipeline,3.779174327850342,cuBLAS INT8 2xGEMM,176.16338567146522,208.92845345978208,38.25283699688632,72.73491061746157,28.231311806324555,33.482123951888155,5.6448838792431175,13.389579842088084,0.8431756553703491,4.605237140602264,2.4219921929645354,0.04736328125,0.007464163936674595
8,4096,1024,2.955371518135071,2.571980848312378,14.060093460083008,cuBLAS INT8 pipeline,7.334256601333618,cuBLAS INT8 2xGEMM,186.01918930142244,213.74802003239094,39.10043809088267,74.95726476055333,29.810767516253595,34.25449038980624,5.818776520811706,13.372297395825239,0.8702732744529446,4.757470718590181,2.481669920796204,0.0499267578125,0.007420036010444164
8,512,2048,1.3632934379577637,1.234493420124054,5.495296020507812,cuBLAS INT8 pipeline,3.7562777519226076,cuBLAS INT8 2xGEMM,201.6278368916465,222.66453790930498,50.02058231589114,73.17826984527619,32.312153348020274,35.68341953674759,4.307235285160906,9.513255403839933,0.9055228945965923,4.030897433746808,2.7552965835070506,0.106201171875,0.015924397855997086
8,1024,2048,2.594852480888367,2.4234598159790037,10.874716053009033,cuBLAS INT8 pipeline,7.475937328338623,cuBLAS INT8 2xGEMM,211.86399532808394,226.84750548088434,50.553578705706315,73.53670713691926,33.9525633538596,36.353766903987875,3.8793456175796623,8.307403765169104,0.9339489754536313,4.190880265103161,2.881064485707943,0.109375,0.01616903394460678
8,2048,2048,4.959809942245483,4.850483179092407,21.247733840942384,cuBLAS INT8 pipeline,14.536621990203857,cuBLAS INT8 2xGEMM,221.6842259238288,226.68084542903907,51.747242129762775,75.63735429847142,35.526318257023846,36.327058562346004,3.720896126040827,7.609525450803924,0.9779574692526263,4.283981460653062,2.930882868391245,0.107421875,0.015704885125160217
8,4096,2048,9.801024627685546,9.680281639099121,42.38548973083496,cuBLAS INT8 pipeline,29.036093711853027,cuBLAS INT8 2xGEMM,224.36666971943794,227.16521456049787,51.88151109062769,75.73412861160182,35.956197070422746,36.40468182059261,3.5947418701997345,7.279158791764,0.987680574922202,4.324597819202097,2.962556958568701,0.10699462890625,0.015864193439483643
