regime,B,H,Dh,d_model,d_ff,seq,int8_ms,fp16_ms,cos,speedup
prefill,8,16,64,1024,4096,512,1.4647501063346864,0.783769600391388,0.9999358654022217,0.53508758729682
prefill,8,16,64,1024,4096,1024,2.807070741653442,1.5281356620788573,0.9999357461929321,0.5443880125296533
prefill,8,16,64,1024,4096,2048,6.037319641113282,3.332341780662537,0.9999358057975769,0.551957156280043
decode,128,16,64,1024,4096,2048,1.0647142291069032,1.0090495944023132,0.9985451102256775,0.947718708755041
decode,128,16,64,1024,4096,4096,1.624985589981079,1.8639667105674744,0.9992403388023376,1.1470666091193942
decode,128,16,64,1024,4096,8192,2.768977928161621,3.5981311893463133,0.9995929002761841,1.2994437957601142
decode,128,16,64,1024,4096,16384,4.999802894592285,7.076003875732422,0.9997650384902954,1.4152565660909804
decode,128,16,64,1024,4096,32768,9.276006336212157,13.975039978027343,0.9998490214347839,1.5065793911190912
