B,H,D,S,ours_ms,sdpa_ms,cos,kv_int8_mb,kv_fp16_mb,ours_gbps,speedup_vs_sdpa
8,8,64,1024,0.055767040103673934,0.053063679188489914,0.999944806098938,8.388608,16.777216,150.42232803471595,0.9515240380310964
8,8,64,2048,0.06150144092738628,0.06279167920351028,0.999946117401123,16.777216,33.554432,272.7938686803871,1.020978992632829
8,8,64,4096,0.11421696111559868,0.08984576061367988,0.999946117401123,33.554432,67.108864,293.778013985503,0.7866236304671705
8,8,64,8192,0.14968832194805146,0.13780991792678832,0.9999457597732544,67.108864,134.217728,448.32397829464463,0.9206457533448369
8,8,64,16384,0.25851904213428495,0.23713792145252227,0.9999474287033081,134.217728,268.435456,519.1792716386518,0.9172938267709638
8,8,64,32768,0.46012416124343875,0.4344627207517624,0.9999438524246216,268.435456,536.870912,583.3978708585537,0.9442293131872734
32,8,64,1024,0.11284480080008506,0.11714560210704804,0.9999458193778992,33.554432,67.108864,297.35027012405084,1.0381125339977537
32,8,64,2048,0.1392844784259796,0.19562495827674867,0.9999467134475708,67.108864,134.217728,481.8115037539081,1.4044993418323368
32,8,64,4096,0.22271999716758728,0.3001139223575592,0.999944269657135,134.217728,268.435456,602.6298927213387,1.3474942805954522
32,8,64,8192,0.4028211188316345,0.5624831986427307,0.9999452829360962,268.435456,536.870912,666.3887354729205,1.3963597546081725
32,8,64,16384,0.7622656011581421,1.0970111680030823,0.9999455809593201,536.870912,1073.741824,704.309509945496,1.4391455764714387
32,8,64,32768,1.4815231895446777,2.1718630743026734,0.9999451041221619,1073.741824,2147.483648,724.7553272048325,1.4659663038890134
64,16,64,1024,0.22501375705003737,0.26165248215198517,0.9999457597732544,134.217728,268.435456,596.4867648965719,1.1628288224786196
64,16,64,2048,0.39968767642974856,0.4749926418066025,0.9999450445175171,268.435456,536.870912,671.6130414573385,1.1884095252811477
64,16,64,4096,0.7589683198928833,0.9087999951839447,0.9999436736106873,536.870912,1073.741824,707.3693300871519,1.1974149267682317
64,16,64,8192,1.4769151997566223,1.7864703917503357,0.9999445676803589,1073.741824,2147.483648,727.0165708748475,1.2095957791244374
64,16,64,16384,2.9053337240219115,3.549614086151123,0.9999449253082275,2147.483648,4294.967296,739.1521429170607,1.2217577818348941
64,16,64,32768,5.774827489852905,7.124418516159057,0.9999443292617798,4294.967296,8589.934592,743.7394975948278,1.2337023969421688
128,16,64,1024,0.39993343472480775,0.47943680107593534,0.9999448657035828,268.435456,536.870912,671.2003365877853,1.1987914974046456
128,16,64,2048,0.7580057597160339,0.8916582357883454,0.9999452829360962,536.870912,1073.741824,708.2675891554227,1.1763211880109996
128,16,64,4096,1.4802943921089173,1.7337139129638672,0.9999445676803589,1073.741824,2147.483648,725.3569490797585,1.1711953529013328
128,16,64,8192,2.9095526218414305,3.4422989320755004,0.9999443888664246,2147.483648,4294.967296,738.0803604922863,1.1831024832597459
128,16,64,16384,5.7683558177948,6.8221542930603025,0.9999446868896484,4294.967296,8589.934592,744.5739187500286,1.1826861082346274
128,16,64,32768,11.427266521453857,13.579775886535645,0.9999441504478455,8589.934592,17179.869184,751.7051060175262,1.1883660769651787
64,16,128,1024,0.38113279938697814,0.4587110412120819,0.999936044216156,268.435456,536.870912,704.3095121484089,1.2035464855029065
64,16,128,2048,0.7282278418540955,0.8694783997535706,0.9999358057975769,536.870912,1073.741824,737.2293136075467,1.1939647865424177
64,16,128,4096,1.4277632093429566,1.6938598465919494,0.9999351501464844,1073.741824,2147.483648,752.04474871861,1.186373087293269
64,16,128,8192,2.8250522136688234,3.359805464744568,0.9999355673789978,2147.483648,4294.967296,760.1571530641261,1.189289687634224
64,16,128,16384,5.639270420074463,6.452326383590698,0.9999349117279053,4294.967296,8589.934592,761.6175455447103,1.1441775093143165
64,16,128,32768,10.796113929748536,12.639293403625489,0.99993497133255,8589.934592,17179.869184,795.6506061250946,1.1707261970252183
